LECROYWaveRunnerrP,20594,Histogram
Segments,1,SegmentSize,200
Segment,TrigTime,TimeSinceSegment1
#1,24-May-2022 15:10:29,0                 
Time,Ampl
-3.52e-008,0
-3.495e-008,0
-3.47e-008,0
-3.445e-008,0
-3.42e-008,0
-3.395e-008,0
-3.37e-008,0
-3.345e-008,0
-3.32e-008,0
-3.295e-008,0
-3.27e-008,0
-3.245e-008,1
-3.22e-008,0
-3.195e-008,0
-3.17e-008,0
-3.145e-008,0
-3.12e-008,0
-3.095e-008,0
-3.07e-008,0
-3.045e-008,0
-3.02e-008,0
-2.995e-008,0
-2.97e-008,0
-2.945e-008,0
-2.92e-008,0
-2.895e-008,1
-2.87e-008,0
-2.845e-008,1
-2.82e-008,1
-2.795e-008,0
-2.77e-008,0
-2.745e-008,0
-2.72e-008,1
-2.695e-008,1
-2.67e-008,0
-2.645e-008,1
-2.62e-008,0
-2.595e-008,0
-2.57e-008,0
-2.545e-008,0
-2.52e-008,0
-2.495e-008,2
-2.47e-008,0
-2.445e-008,0
-2.42e-008,1
-2.395e-008,0
-2.37e-008,1
-2.345e-008,3
-2.32e-008,3
-2.295e-008,5
-2.27e-008,8
-2.245e-008,5
-2.22e-008,13
-2.195e-008,20
-2.17e-008,18
-2.145e-008,33
-2.12e-008,35
-2.095e-008,41
-2.07e-008,36
-2.045e-008,58
-2.02e-008,66
-1.995e-008,66
-1.97e-008,79
-1.945e-008,67
-1.92e-008,90
-1.895e-008,85
-1.87e-008,93
-1.845e-008,88
-1.82e-008,73
-1.795e-008,78
-1.77e-008,87
-1.745e-008,70
-1.72e-008,72
-1.695e-008,53
-1.67e-008,62
-1.645e-008,42
-1.62e-008,25
-1.595e-008,36
-1.57e-008,25
-1.545e-008,26
-1.52e-008,30
-1.495e-008,21
-1.47e-008,19
-1.445e-008,9
-1.42e-008,16
-1.395e-008,21
-1.37e-008,17
-1.345e-008,6
-1.32e-008,9
-1.295e-008,10
-1.27e-008,9
-1.245e-008,12
-1.22e-008,7
-1.195e-008,11
-1.17e-008,1
-1.145e-008,6
-1.12e-008,5
-1.095e-008,3
-1.07e-008,3
-1.045e-008,5
-1.02e-008,2
-9.95e-009,4
-9.7e-009,2
-9.45e-009,4
-9.2e-009,1
-8.95e-009,0
-8.7e-009,0
-8.45e-009,1
-8.2e-009,1
-7.95e-009,1
-7.7e-009,0
-7.45e-009,1
-7.2e-009,2
-6.95e-009,0
-6.7e-009,0
-6.45e-009,0
-6.2e-009,0
-5.95e-009,4
-5.7e-009,0
-5.45e-009,0
-5.2e-009,0
-4.95e-009,1
-4.7e-009,0
-4.45e-009,0
-4.2e-009,0
-3.95e-009,1
-3.7e-009,0
-3.45e-009,0
-3.2e-009,0
-2.95e-009,0
-2.7e-009,0
-2.45e-009,0
-2.2e-009,0
-1.95e-009,0
-1.7e-009,0
-1.45e-009,0
-1.2e-009,0
-9.5e-010,0
-7e-010,0
-4.5e-010,0
-2e-010,0
5e-011,0
3e-010,0
5.5e-010,0
8e-010,0
1.05e-009,0
1.3e-009,0
1.55e-009,0
1.8e-009,0
2.05e-009,0
2.3e-009,0
2.55e-009,0
2.8e-009,0
3.05e-009,0
3.3e-009,0
3.55e-009,0
3.8e-009,0
4.05e-009,0
4.3e-009,0
4.55e-009,0
4.8e-009,0
5.05e-009,0
5.3e-009,0
5.55e-009,0
5.8e-009,0
6.05e-009,0
6.3e-009,0
6.55e-009,0
6.8e-009,0
7.05e-009,0
7.3e-009,0
7.55e-009,0
7.8e-009,0
8.05e-009,0
8.3e-009,0
8.55e-009,0
8.8e-009,0
9.05e-009,0
9.3e-009,0
9.55e-009,0
9.8e-009,0
1.005e-008,0
1.03e-008,0
1.055e-008,0
1.08e-008,0
1.105e-008,0
1.13e-008,0
1.155e-008,0
1.18e-008,0
1.205e-008,0
1.23e-008,0
1.255e-008,0
1.28e-008,0
1.305e-008,0
1.33e-008,0
1.355e-008,0
1.38e-008,0
1.405e-008,0
1.43e-008,0
1.455e-008,0
