LECROYWaveRunnerrP,20594,Histogram
Segments,1,SegmentSize,200
Segment,TrigTime,TimeSinceSegment1
#1,24-May-2022 15:57:02,0                 
Time,Ampl
-1.712e-009,0
-1.702e-009,0
-1.692e-009,0
-1.682e-009,0
-1.672e-009,0
-1.662e-009,0
-1.652e-009,0
-1.642e-009,0
-1.632e-009,0
-1.622e-009,0
-1.612e-009,0
-1.602e-009,0
-1.592e-009,0
-1.582e-009,0
-1.572e-009,0
-1.562e-009,0
-1.552e-009,0
-1.542e-009,0
-1.532e-009,0
-1.522e-009,0
-1.512e-009,0
-1.502e-009,0
-1.492e-009,0
-1.482e-009,0
-1.472e-009,0
-1.462e-009,0
-1.452e-009,0
-1.442e-009,0
-1.432e-009,0
-1.422e-009,0
-1.412e-009,0
-1.402e-009,0
-1.392e-009,0
-1.382e-009,0
-1.372e-009,0
-1.362e-009,0
-1.352e-009,1
-1.342e-009,0
-1.332e-009,0
-1.322e-009,0
-1.312e-009,0
-1.302e-009,0
-1.292e-009,0
-1.282e-009,0
-1.272e-009,0
-1.262e-009,0
-1.252e-009,0
-1.242e-009,0
-1.232e-009,0
-1.222e-009,0
-1.212e-009,0
-1.202e-009,0
-1.192e-009,0
-1.182e-009,1
-1.172e-009,0
-1.162e-009,0
-1.152e-009,0
-1.142e-009,0
-1.132e-009,0
-1.122e-009,0
-1.112e-009,1
-1.102e-009,0
-1.092e-009,1
-1.082e-009,0
-1.072e-009,0
-1.062e-009,0
-1.052e-009,0
-1.042e-009,1
-1.032e-009,1
-1.022e-009,0
-1.012e-009,0
-1.002e-009,0
-9.92e-010,0
-9.82e-010,0
-9.72e-010,0
-9.62e-010,0
-9.52e-010,0
-9.42e-010,2
-9.32e-010,0
-9.22e-010,0
-9.12e-010,0
-9.02e-010,0
-8.92e-010,0
-8.82e-010,0
-8.72e-010,1
-8.62e-010,1
-8.52e-010,0
-8.42e-010,0
-8.32e-010,0
-8.22e-010,0
-8.12e-010,0
-8.02e-010,0
-7.92e-010,0
-7.82e-010,0
-7.72e-010,0
-7.62e-010,0
-7.52e-010,1
-7.42e-010,0
-7.32e-010,0
-7.22e-010,1
-7.12e-010,0
-7.02e-010,0
-6.92e-010,0
-6.82e-010,0
-6.72e-010,0
-6.62e-010,0
-6.52e-010,0
-6.42e-010,1
-6.32e-010,0
-6.22e-010,1
-6.12e-010,2
-6.02e-010,0
-5.92e-010,0
-5.82e-010,1
-5.72e-010,0
-5.62e-010,1
-5.52e-010,0
-5.42e-010,1
-5.32e-010,1
-5.22e-010,1
-5.12e-010,0
-5.02e-010,0
-4.92e-010,1
-4.82e-010,0
-4.72e-010,2
-4.62e-010,2
-4.52e-010,3
-4.42e-010,3
-4.32e-010,1
-4.22e-010,1
-4.12e-010,2
-4.02e-010,0
-3.92e-010,1
-3.82e-010,3
-3.72e-010,4
-3.62e-010,1
-3.52e-010,2
-3.42e-010,9
-3.32e-010,7
-3.22e-010,8
-3.12e-010,8
-3.02e-010,14
-2.92e-010,13
-2.82e-010,12
-2.72e-010,16
-2.62e-010,23
-2.52e-010,25
-2.42e-010,32
-2.32e-010,38
-2.22e-010,40
-2.12e-010,40
-2.02e-010,57
-1.92e-010,80
-1.82e-010,78
-1.72e-010,124
-1.62e-010,142
-1.52e-010,142
-1.42e-010,213
-1.32e-010,225
-1.22e-010,291
-1.12e-010,351
-1.02e-010,353
-9.2e-011,441
-8.2e-011,424
-7.2e-011,475
-6.2e-011,400
-5.2e-011,353
-4.2e-011,372
-3.2e-011,234
-2.2e-011,183
-1.2e-011,129
-2e-012,10
8e-012,0
1.8e-011,0
2.8e-011,0
3.8e-011,0
4.8e-011,0
5.8e-011,0
6.8e-011,0
7.8e-011,0
8.8e-011,0
9.8e-011,0
1.08e-010,0
1.18e-010,0
1.28e-010,0
1.38e-010,0
1.48e-010,0
1.58e-010,0
1.68e-010,0
1.78e-010,0
1.88e-010,0
1.98e-010,0
2.08e-010,0
2.18e-010,0
2.28e-010,0
2.38e-010,0
2.48e-010,0
2.58e-010,0
2.68e-010,0
2.78e-010,0
