LECROYWaveRunnerrP,20594,Histogram
Segments,1,SegmentSize,200
Segment,TrigTime,TimeSinceSegment1
#1,24-May-2022 15:57:02,0                 
Time,Ampl
-2.08e-011,0
-1.98e-011,0
-1.88e-011,0
-1.78e-011,0
-1.68e-011,0
-1.58e-011,0
-1.48e-011,0
-1.38e-011,0
-1.28e-011,0
-1.18e-011,0
-1.08e-011,0
-9.8e-012,0
-8.8e-012,0
-7.8e-012,0
-6.8e-012,0
-5.8e-012,0
-4.8e-012,0
-3.8e-012,0
-2.8e-012,0
-1.8e-012,0
-8e-013,0
2e-013,0
1.2e-012,1
2.2e-012,1
3.2e-012,0
4.2e-012,0
5.2e-012,1
6.2e-012,0
7.2e-012,0
8.2e-012,0
9.2e-012,0
1.02e-011,1
1.12e-011,1
1.22e-011,1
1.32e-011,1
1.42e-011,0
1.52e-011,1
1.62e-011,0
1.72e-011,3
1.82e-011,2
1.92e-011,0
2.02e-011,2
2.12e-011,3
2.22e-011,1
2.32e-011,1
2.42e-011,0
2.52e-011,4
2.62e-011,3
2.72e-011,4
2.82e-011,7
2.92e-011,0
3.02e-011,6
3.12e-011,5
3.22e-011,6
3.32e-011,4
3.42e-011,4
3.52e-011,7
3.62e-011,11
3.72e-011,10
3.82e-011,9
3.92e-011,8
4.02e-011,13
4.12e-011,14
4.22e-011,18
4.32e-011,18
4.42e-011,22
4.52e-011,13
4.62e-011,26
4.72e-011,26
4.82e-011,27
4.92e-011,33
5.02e-011,34
5.12e-011,24
5.22e-011,27
5.32e-011,33
5.42e-011,0
5.52e-011,43
5.62e-011,57
5.72e-011,31
5.82e-011,41
5.92e-011,35
6.02e-011,40
6.12e-011,56
6.22e-011,40
6.32e-011,53
6.42e-011,44
6.52e-011,49
6.62e-011,65
6.72e-011,69
6.82e-011,68
6.92e-011,55
7.02e-011,76
7.12e-011,64
7.22e-011,80
7.32e-011,68
7.42e-011,68
7.52e-011,85
7.62e-011,70
7.72e-011,74
7.82e-011,93
7.92e-011,0
8.02e-011,92
8.12e-011,97
8.22e-011,91
8.32e-011,103
8.42e-011,107
8.52e-011,100
8.62e-011,93
8.72e-011,105
8.82e-011,84
8.92e-011,100
9.02e-011,116
9.12e-011,106
9.22e-011,103
9.32e-011,104
9.42e-011,114
9.52e-011,108
9.62e-011,102
9.72e-011,89
9.82e-011,98
9.92e-011,88
1.002e-010,98
1.012e-010,100
1.022e-010,86
1.032e-010,72
1.042e-010,0
1.052e-010,81
1.062e-010,66
1.072e-010,67
1.082e-010,74
1.092e-010,55
1.102e-010,76
1.112e-010,63
1.122e-010,81
1.132e-010,55
1.142e-010,46
1.152e-010,64
1.162e-010,36
1.172e-010,46
1.182e-010,43
1.192e-010,44
1.202e-010,33
1.212e-010,38
1.222e-010,24
1.232e-010,25
1.242e-010,30
1.252e-010,17
1.262e-010,29
1.272e-010,14
1.282e-010,19
1.292e-010,0
1.302e-010,20
1.312e-010,14
1.322e-010,21
1.332e-010,12
1.342e-010,8
1.352e-010,10
1.362e-010,5
1.372e-010,11
1.382e-010,11
1.392e-010,4
1.402e-010,4
1.412e-010,2
1.422e-010,6
1.432e-010,3
1.442e-010,4
1.452e-010,6
1.462e-010,4
1.472e-010,3
1.482e-010,4
1.492e-010,0
1.502e-010,5
1.512e-010,1
1.522e-010,3
1.532e-010,2
1.542e-010,0
1.552e-010,2
1.562e-010,3
1.572e-010,2
1.582e-010,1
1.592e-010,1
1.602e-010,0
1.612e-010,0
1.622e-010,0
1.632e-010,1
1.642e-010,0
1.652e-010,0
1.662e-010,1
1.672e-010,0
1.682e-010,0
1.692e-010,1
1.702e-010,0
1.712e-010,0
1.722e-010,0
1.732e-010,0
1.742e-010,0
1.752e-010,0
1.762e-010,0
1.772e-010,0
1.782e-010,0
